approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,kl_coef,mutual_info_coef,mutual_info_coef1,mutual_info_loss,mutual_info_loss1,nupdates,policy_entropy,policy_loss,serial_timesteps,student_ps,student_ps_coef,student_ps_loss,time_elapsed,total_timesteps,value_loss,vf_student_ps,vf_student_ps_coef,vf_student_ps_loss
0.016955612,0.27084962,33.01639344262295,-155.63951686885247,-0.1980886459350586,226,0.05000013,1.0,1.0,0.11570208,0.056944333,1,31.143204,-0.06435072,2048,0.47041637,0.0,0.7544466,9.102716207504272,2048,0.40087214,0.4716331,0.0,0.7515713
0.022319686,0.3546875,35.56896551724138,-165.77753244827585,0.04440885782241821,238,0.05000013,1.0,1.0,-0.050054125,-0.14784968,2,31.04899,-0.085727856,4096,0.4615183,0.0,0.7746801,17.68816566467285,4096,0.2286897,0.4714706,0.0,0.75200075
0.026797354,0.39697266,40.92,-183.27448172,0.03385031223297119,236,0.05000013,1.0,1.0,-0.1627812,-0.31349593,3,30.979214,-0.094195664,6144,0.44867128,0.0,0.8040899,26.354424953460693,6144,0.19866994,0.46961707,0.0,0.7561557
0.030456334,0.4321289,39.98039215686274,-176.48353815686275,0.0642402172088623,237,0.05000013,1.0,1.0,-0.27163535,-0.48024887,4,30.918354,-0.09998905,8192,0.43561903,0.0,0.83492744,34.96970987319946,8192,0.20142296,0.46893874,0.0,0.7578207
0.03153301,0.4477051,30.791044776119403,-138.52139795522388,0.14534515142440796,239,0.05000013,1.0,1.0,-0.3758844,-0.64013904,5,30.885242,-0.10023109,10240,0.42407933,0.0,0.86326516,43.529175758361816,10240,0.1725793,0.46947294,0.0,0.7570392
0.03829456,0.49086913,33.36065573770492,-152.32019147540987,0.1808263063430786,237,0.05000013,1.0,1.0,-0.47355503,-0.79619384,6,30.826965,-0.105719015,12288,0.41688856,0.0,0.881635,52.14775586128235,12288,0.19391087,0.46942964,0.0,0.7574797
0.039201476,0.48955077,34.6271186440678,-157.82493183050852,0.12600427865982056,236,0.05000013,1.0,1.0,-0.56388164,-0.94881916,7,30.76102,-0.102321364,14336,0.4117137,0.0,0.89509857,60.80648970603943,14336,0.20730695,0.46744126,0.0,0.7620563
0.04016092,0.50219727,34.932203389830505,-159.2435950677966,0.10876613855361938,235,0.05000013,1.0,1.0,-0.6491807,-1.1000625,8,30.675793,-0.104737505,16384,0.4034613,0.0,0.9167509,69.49703788757324,16384,0.22827235,0.46736318,0.0,0.76242256
0.03820535,0.4706543,28.708333333333332,-128.03291875,0.13688677549362183,232,0.05000013,1.0,1.0,-0.73331344,-1.2537042,9,30.572779,-0.09616004,18432,0.3971858,0.0,0.9343541,78.30259490013123,18432,0.18871298,0.46751818,0.0,0.7625177
0.041628517,0.4970703,28.430555555555557,-126.29332619444443,0.124622642993927,236,0.05000013,1.0,1.0,-0.81587267,-1.4096018,10,30.46075,-0.09656236,20480,0.39131308,0.0,0.9509231,86.96080780029297,20480,0.17153025,0.46740967,0.0,0.763061
0.04093292,0.48911133,22.6,-102.8006339,0.12953495979309082,233,0.05000013,1.0,1.0,-0.89297235,-1.5636364,11,30.359863,-0.09165357,22528,0.38615388,0.0,0.9657922,95.72816276550293,22528,0.1524337,0.4665274,0.0,0.7652286
0.04391442,0.5074707,26.77922077922078,-116.13394579220778,0.14116638898849487,235,0.05000013,1.0,1.0,-0.9713627,-1.7205725,12,30.262054,-0.09479757,24576,0.38415307,0.0,0.9726707,104.43808770179749,24576,0.15713811,0.46688756,0.0,0.76468
0.04051651,0.4933594,23.3953488372093,-102.5164238139535,0.13805437088012695,236,0.05000013,1.0,1.0,-1.0454377,-1.8758533,13,30.183008,-0.09243799,26624,0.38067973,0.0,0.98311675,113.11154317855835,26624,0.16215435,0.4640689,0.0,0.77114093
0.04031818,0.48574218,19.951923076923077,-87.05772502884614,0.13440054655075073,230,0.05000013,1.0,1.0,-1.1170794,-2.0235124,14,30.065699,-0.08837112,28672,0.37666827,0.0,0.99559736,121.98806548118591,28672,0.14165798,0.4623317,0.0,0.7749981
0.03955186,0.47563475,22.27173913043478,-95.71690564130434,0.16812187433242798,238,0.05000013,1.0,1.0,-1.1849368,-2.1662278,15,29.965265,-0.086928174,30720,0.37431318,0.0,1.0035739,130.5597906112671,30720,0.14516301,0.46034938,0.0,0.77959985
0.036852427,0.46743163,19.567307692307693,-85.92426070192307,0.1996660828590393,240,0.05000013,1.0,1.0,-1.2476416,-2.2914286,16,29.867792,-0.08458113,32768,0.37190148,0.0,1.0124493,139.09211111068726,32768,0.14404131,0.46017846,0.0,0.77996904
