approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,kl_coef,mutual_info_coef,mutual_info_coef1,mutual_info_loss,mutual_info_loss1,nupdates,policy_entropy,policy_loss,serial_timesteps,student_ps,student_ps_coef,student_ps_loss,time_elapsed,total_timesteps,value_loss,vf_student_ps,vf_student_ps_coef,vf_student_ps_loss
0.015025109,0.25107422,48.404761904761905,-228.4575627857143,-0.3718987703323364,232,0.10000026,0.5,0.5,0.11974355,0.08054547,1,31.165558,-0.06144627,2048,0.469834,0.0,0.7554511,8.902929067611694,2048,0.33549923,0.4697616,0.0,0.75554556
0.02263019,0.36220703,37.925925925925924,-176.67120690740742,-0.06158339977264404,237,0.10000026,0.5,0.5,-0.04219579,-0.12751988,2,31.079113,-0.09275651,4096,0.46044248,0.0,0.7762008,17.53718662261963,4096,0.12036256,0.46808487,0.0,0.75919914
0.024974313,0.3902832,40.58,-185.99104646,0.09664756059646606,243,0.10000026,0.5,0.5,-0.14905235,-0.28851676,3,30.994175,-0.09685858,6144,0.4489223,0.0,0.80258816,25.94818663597107,6144,0.14955148,0.4681529,0.0,0.75919294
0.028218653,0.42719728,33.33870967741935,-151.05978417741935,0.1377386450767517,243,0.10000026,0.5,0.5,-0.25377065,-0.44783863,4,30.909048,-0.10109979,8192,0.44071737,0.0,0.82229006,34.36855697631836,8192,0.15033558,0.4699996,0.0,0.75534534
0.028543223,0.42583007,42.8125,-194.2061613541667,0.11822879314422607,239,0.10000026,0.5,0.5,-0.35116777,-0.60280615,5,30.815067,-0.10134456,10240,0.4347754,0.0,0.83710784,42.91883897781372,10240,0.18616684,0.47274327,0.0,0.7495763
0.030836914,0.4472168,34.20338983050848,-154.06785572881356,0.10734385251998901,236,0.10000026,0.5,0.5,-0.44538277,-0.75169295,6,30.769272,-0.10213047,12288,0.42980418,0.0,0.84991634,51.565555572509766,12288,0.16495845,0.47681195,0.0,0.74094856
0.034107145,0.47006837,31.03030303030303,-137.06160001515153,0.11399435997009277,233,0.10000026,0.5,0.5,-0.5378608,-0.90114915,7,30.719564,-0.1061639,14336,0.42264575,0.0,0.8681649,60.333988904953,14336,0.14314799,0.4783565,0.0,0.73786056
0.03458505,0.47856444,35.03389830508475,-158.7502655423729,0.14067131280899048,233,0.10000026,0.5,0.5,-0.62463146,-1.0436327,8,30.640522,-0.107078396,16384,0.41603836,0.0,0.8854691,69.09086060523987,16384,0.16072576,0.47921968,0.0,0.7362754
0.039903056,0.5035645,33.540983606557376,-150.50857898360655,0.11897134780883789,241,0.10000026,0.5,0.5,-0.70848227,-1.1885058,9,30.596075,-0.110450745,18432,0.40833816,0.0,0.90598357,77.57251405715942,18432,0.17350164,0.47838727,0.0,0.73824894
0.04080636,0.5097656,33.22950819672131,-148.31460667213116,0.10796487331390381,237,0.10000026,0.5,0.5,-0.79234946,-1.3357579,10,30.561533,-0.10908036,20480,0.40226364,0.0,0.922228,86.20628690719604,20480,0.17674974,0.47873014,0.0,0.7377876
0.041255917,0.51171875,28.633802816901408,-128.5246545492958,0.11384427547454834,235,0.10000026,0.5,0.5,-0.87207586,-1.4773637,11,30.48819,-0.10547103,22528,0.3985022,0.0,0.9330306,94.90101790428162,22528,0.15988876,0.47913915,0.0,0.73724836
0.04164682,0.5081543,30.0,-131.6866444285714,0.11597508192062378,237,0.10000026,0.5,0.5,-0.9462163,-1.6181285,12,30.411676,-0.10440443,24576,0.39404938,0.0,0.945436,103.51638531684875,24576,0.1699231,0.48181206,0.0,0.7318303
0.041157696,0.50566405,26.51948051948052,-118.48845881818184,0.21712547540664673,240,0.10000026,0.5,0.5,-1.023258,-1.76599,13,30.34705,-0.09953607,26624,0.39061716,0.0,0.95454043,112.04096555709839,26624,0.14618428,0.4828209,0.0,0.7299395
0.04133597,0.5029785,26.93421052631579,-117.84752359210525,0.21695584058761597,249,0.10000026,0.5,0.5,-1.0971019,-1.9128296,14,30.273767,-0.100257315,28672,0.3871196,0.0,0.9646117,120.2415623664856,28672,0.15310541,0.48301536,0.0,0.72987187
0.04318163,0.5010742,25.296296296296298,-112.43654737037035,0.19596344232559204,245,0.10000026,0.5,0.5,-1.1732857,-2.0660205,15,30.151129,-0.0976813,30720,0.382277,0.0,0.97875214,128.59755420684814,30720,0.15127602,0.48553187,0.0,0.7248344
0.04226151,0.51523435,19.01851851851852,-83.12468406481483,0.21602052450180054,239,0.10000026,0.5,0.5,-1.2447805,-2.2117922,16,30.003738,-0.095215455,32768,0.37833023,0.0,0.9902317,137.14493560791016,32768,0.11242367,0.4851274,0.0,0.7257126
0.044324134,0.50947267,19.692307692307693,-82.69853304807692,0.1973438262939453,240,0.10000026,0.5,0.5,-1.3156809,-2.362596,17,29.871433,-0.095039204,34816,0.37379497,0.0,1.0038095,145.6446213722229,34816,0.10675198,0.48243672,0.0,0.7317716
0.042738043,0.49677736,20.948979591836736,-89.11016975510205,0.1907719373703003,242,0.10000026,0.5,0.5,-1.3828845,-2.5017428,18,29.774542,-0.091334775,36864,0.36974818,0.0,1.0162156,154.09536457061768,36864,0.117555514,0.48074308,0.0,0.7357191
0.045848165,0.5142578,17.041666666666668,-72.84232994166665,0.2587844729423523,238,0.10000026,0.5,0.5,-1.4578111,-2.6485412,19,29.660336,-0.09171384,38912,0.36863047,0.0,1.0196187,162.6790885925293,38912,0.09506121,0.48023024,0.0,0.737381
0.040681873,0.48164064,15.676923076923076,-66.76860049230768,0.23797613382339478,237,0.10000026,0.5,0.5,-1.5316303,-2.795933,20,29.561468,-0.085779,40960,0.36632115,0.0,1.0273584,171.30326962471008,40960,0.08121464,0.47862688,0.0,0.7410966
0.04120845,0.49873048,14.29861111111111,-60.022084,0.2781156301498413,239,0.10000026,0.5,0.5,-1.5986735,-2.925522,21,29.424984,-0.08960321,43008,0.36369058,0.0,1.0370758,179.85712051391602,43008,0.074895725,0.47746325,0.0,0.74389493
0.04233519,0.50039065,12.836477987421384,-55.47546498113208,0.2660888433456421,242,0.10000026,0.5,0.5,-1.6710396,-3.0646977,22,29.304193,-0.090558514,45056,0.36263427,0.0,1.0413127,188.31800603866577,45056,0.081056826,0.4758605,0.0,0.747823
0.0413686,0.49648437,12.226190476190476,-52.44333519047619,0.24622845649719238,240,0.10000026,0.5,0.5,-1.7342064,-3.1900072,23,29.179626,-0.087715164,47104,0.3621981,0.0,1.0437206,196.82850217819214,47104,0.07308702,0.47380218,0.0,0.7525043
0.038432233,0.4760254,10.380710659898478,-44.08890137055837,0.28252023458480835,237,0.10000026,0.5,0.5,-1.8114058,-3.3271065,24,29.031397,-0.08177222,49152,0.36169797,0.0,1.0461276,205.45999670028687,49152,0.051605083,0.47277108,0.0,0.75480014
0.03723753,0.47177735,9.682464454976303,-40.338766744075826,0.32623451948165894,238,0.10000026,0.5,0.5,-1.8744671,-3.4420247,25,28.86727,-0.08099803,51200,0.36085743,0.0,1.0497794,214.0390236377716,51200,0.04182631,0.47151366,0.0,0.75752455
0.038810715,0.47856444,9.666666666666666,-40.60708778403756,0.319172739982605,242,0.10000026,0.5,0.5,-1.9415649,-3.5618114,26,28.671673,-0.0801494,53248,0.360575,0.0,1.0528363,222.4861261844635,53248,0.043102913,0.4697942,0.0,0.7612034
0.032479968,0.43671876,8.325203252032521,-34.82677934959351,0.33536309003829956,240,0.10000026,0.5,0.5,-2.0063088,-3.6768079,27,28.47851,-0.074711315,55296,0.36155313,0.0,1.0516576,230.9944155216217,55296,0.034527898,0.469112,0.0,0.76280564
