approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.01040074,0.14760742,1000.0,-556.2840585,-1.342667818069458,357,1,8.4648075,-0.02407009,2048,5.793508529663086,2048,0.32987463
0.009196604,0.13305664,1000.0,-630.0266745,-0.8097704648971558,324,2,8.41686,-0.023345653,4096,12.125577211380005,4096,0.13325417
0.009407918,0.13422851,1000.0,-537.3659554999999,-2.0035738945007324,358,3,8.364392,-0.023836218,6144,17.86622643470764,6144,0.07426309
0.008697926,0.12836914,1000.0,-567.072013,-0.28630852699279785,354,4,8.286671,-0.025125777,8192,23.650757789611816,8192,0.06605968
0.009332799,0.12998047,1000.0,-567.430974,0.008644342422485352,321,5,8.201779,-0.025470853,10240,30.032692909240723,10240,0.07662378
0.009600483,0.13325195,1000.0,-596.828433,-0.016248464584350586,314,6,8.138618,-0.022599664,12288,36.62506461143494,12288,0.046638004
0.010035212,0.14072266,1000.0,-541.271976,0.08424115180969238,290,7,8.079775,-0.022605086,14336,43.69715452194214,14336,0.06279725
0.0114383735,0.1631836,1000.0,-507.0903515,0.20408391952514648,358,8,7.995848,-0.027867049,16384,49.426833391189575,16384,0.078564174
0.008271287,0.11806641,1000.0,-505.844604,-0.22664761543273926,259,9,7.908969,-0.022594921,18432,57.33196020126343,18432,0.028557438
0.0105509795,0.14882812,1000.0,-443.72465150000005,-0.03591632843017578,309,10,7.8263907,-0.023129005,20480,63.980376958847046,20480,0.042964518
0.010428763,0.1529297,1000.0,-465.596835,0.2103634476661682,275,11,7.7628493,-0.025078058,22528,71.42751789093018,22528,0.041553177
0.0108687235,0.15683594,1000.0,-473.20860400000004,0.12477201223373413,314,12,7.708909,-0.024276227,24576,77.95807456970215,24576,0.0370013
0.011139017,0.16479492,1000.0,-427.4934865,0.32849085330963135,328,13,7.646563,-0.028199483,26624,84.21035599708557,26624,0.049850486
0.012201306,0.17924805,1000.0,-409.4979875,0.3000265955924988,293,14,7.5747886,-0.029557358,28672,91.18036770820618,28672,0.04208962
0.009413323,0.13828126,1000.0,-426.68877499999996,0.03306859731674194,312,15,7.5098243,-0.022322496,30720,97.84754014015198,30720,0.033331014
0.011036592,0.15766601,1000.0,-404.823894,0.22005420923233032,275,16,7.434327,-0.02711678,32768,105.2784161567688,32768,0.047649793
0.010562513,0.1527832,1000.0,-372.7258065,0.014854729175567627,307,17,7.3484597,-0.024778321,34816,111.95182633399963,34816,0.02962262
0.01028899,0.15112305,1000.0,-375.539377,0.32129573822021484,252,18,7.2594476,-0.023516342,36864,120.06014513969421,36864,0.033844445
0.011053067,0.1715332,1000.0,-362.356081,0.17018353939056396,302,19,7.1974196,-0.02595758,38912,126.83107542991638,38912,0.031776503
0.010822574,0.15258789,1000.0,-369.1073645,0.05728185176849365,326,20,7.126624,-0.02637814,40960,133.10031175613403,40960,0.030111443
0.010788416,0.15385742,1000.0,-323.28951966666665,0.241219162940979,278,21,7.042806,-0.023837987,43008,140.45564484596252,43008,0.042239375
0.011363989,0.1618164,1000.0,-302.71419249999997,0.4115111827850342,339,22,6.9414825,-0.025323575,45056,146.5792694091797,45056,0.035580475
0.013645756,0.19829102,1000.0,-302.0233865,0.25283491611480713,288,23,6.8629827,-0.029973492,47104,153.68925786018372,47104,0.024862004
0.010634137,0.15703125,1000.0,-279.456283,0.3003365397453308,330,24,6.7967596,-0.025929976,49152,159.89566111564636,49152,0.026644235
0.012572974,0.18408203,1000.0,-282.4527505,0.3280254006385803,328,25,6.7097235,-0.029217819,51200,166.14096212387085,51200,0.028316101
0.010119606,0.15454102,1000.0,-244.307049,0.1582167148590088,310,26,6.636218,-0.025343528,53248,172.75228333473206,53248,0.023498248
0.011710679,0.17998047,1000.0,-294.0777455,0.2566213607788086,335,27,6.5869026,-0.030793557,55296,178.87690663337708,55296,0.039752424
0.0133020235,0.1878418,1000.0,-258.7295055,0.19336295127868652,299,28,6.5151625,-0.031169444,57344,185.72659063339233,57344,0.027830103
0.013048899,0.19433594,1000.0,-263.574341,0.2844499945640564,352,29,6.4242425,-0.030180195,59392,191.55101561546326,59392,0.02795538
0.010573411,0.15126953,1000.0,-178.841746,0.2700302004814148,317,30,6.3255205,-0.02826584,61440,198.09551525115967,61440,0.020715218
0.013129713,0.18476562,1000.0,-182.646001,0.32294565439224243,326,31,6.224912,-0.03188243,63488,204.38270354270935,63488,0.01946475
0.011739677,0.16953126,1000.0,-209.46567199999998,0.4063829779624939,330,32,6.1513424,-0.02915912,65536,210.60207271575928,65536,0.019557523
0.011472151,0.16040039,1000.0,-131.276622,0.2982657551765442,280,33,6.081621,-0.029310709,67584,217.89656686782837,67584,0.017934246
0.012007703,0.17456055,1000.0,-128.418273,0.05410587787628174,348,34,6.004094,-0.02825116,69632,223.78382515907288,69632,0.017664734
0.013933015,0.20131835,1000.0,-109.91412,0.3195469379425049,287,35,5.931644,-0.034141973,71680,230.94667220115662,71680,0.014824142
0.012863368,0.18041992,1000.0,-78.596981,0.17419379949569702,350,36,5.875222,-0.030604472,73728,236.82295846939087,73728,0.0118576195
0.011847394,0.16875,1000.0,-59.3251475,0.26732349395751953,316,37,5.786463,-0.030283619,75776,243.30562448501587,75776,0.012986158
