approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.019038556,0.31972656,38.35849056603774,-176.1748866037736,-0.735531210899353,579,1,31.179697,-0.07813631,2048,3.5499699115753174,2048,0.63013685
0.019867998,0.33183593,40.4,-183.40466754000002,-1.4867985248565674,587,2,31.105942,-0.08884154,4096,7.0401246547698975,4096,0.25466734
0.019484535,0.33398438,43.680851063829785,-200.471247893617,-0.7304435968399048,558,3,31.078812,-0.090996996,6144,10.709703922271729,6144,0.1484228
0.021713793,0.37358397,44.319148936170215,-204.43736678723408,-0.3233215808868408,573,4,31.000843,-0.0969558,8192,14.281674146652222,8192,0.1290644
0.02305926,0.38012695,40.24,-186.49484097999996,-0.09200942516326904,583,5,30.94411,-0.09950758,10240,17.791221857070923,10240,0.10226824
0.023852078,0.39941406,40.0,-178.78903230769234,0.006952166557312012,583,6,30.878046,-0.10248228,12288,21.30206537246704,12288,0.104669616
0.023671923,0.39467773,34.559322033898304,-157.52585777966104,0.11019116640090942,586,7,30.824451,-0.10211378,14336,24.79463505744934,14336,0.10246198
0.02413692,0.40444335,35.63157894736842,-159.80108912280699,0.0605010986328125,587,8,30.792862,-0.1022176,16384,28.28493046760559,16384,0.106772825
0.024858678,0.40786132,30.939393939393938,-140.8580986969697,0.09652310609817505,506,9,30.738068,-0.10282965,18432,32.3285071849823,18432,0.11021541
0.02564061,0.41513672,39.16981132075472,-176.9318785471698,0.14382100105285645,581,10,30.667683,-0.10343214,20480,35.85244154930115,20480,0.11260457
0.027157735,0.4321289,31.890625,-146.18907590625003,0.09893977642059326,588,11,30.616907,-0.10646695,22528,39.33826661109924,22528,0.11341566
0.025320817,0.41020507,26.77922077922078,-122.14516864935068,0.15288519859313965,587,12,30.529734,-0.10250147,24576,42.82641911506653,24576,0.1151708
0.026350668,0.42983398,30.28787878787879,-136.6184590151515,0.1733296513557434,589,13,30.45802,-0.10559268,26624,46.30329895019531,26624,0.116508424
