approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.118137635,0.7194824,49.90243902439025,-253.52329812195123,-1.0014405250549316,73,1,167.3842,-0.1247218,2048,27.9288387298584,2048,0.41264468
0.14558311,0.7361816,58.57142857142857,-301.99568891428567,-2.516965866088867,64,2,167.31331,-0.13355078,4096,59.55829310417175,4096,0.15586466
0.18116641,0.7581543,67.70370370370371,-348.9359681111112,-1.1963882446289062,66,3,167.28331,-0.13376167,6144,90.18772625923157,6144,0.10915957
0.19230255,0.7601563,65.44117647058823,-334.5413262647059,-0.635408878326416,66,4,167.2155,-0.1356195,8192,121.17001819610596,8192,0.08162192
0.2115525,0.76650393,52.333333333333336,-270.0699866666667,-0.42496228218078613,68,5,167.18976,-0.13535409,10240,151.26310539245605,10240,0.0730762
0.23163673,0.78339845,56.270270270270274,-291.2016615405406,-0.1696242094039917,67,6,167.22902,-0.13668975,12288,181.4307131767273,12288,0.06893359
0.23102215,0.7830566,46.22727272727273,-237.84420213636366,-0.3072798252105713,67,7,167.1753,-0.13906492,14336,211.56814765930176,14336,0.08100082
0.25020543,0.7953125,45.02173913043478,-232.3726910652174,-0.14306557178497314,67,8,167.05899,-0.1403399,16384,241.691654920578,16384,0.080347925
0.25455615,0.7831055,53.026315789473685,-275.7179225526316,-0.140097975730896,68,9,166.9471,-0.13850164,18432,271.7237024307251,18432,0.08356741
0.2799132,0.79780275,43.15217391304348,-228.2119994782609,-0.09390199184417725,68,10,166.89088,-0.14139833,20480,301.7362561225891,20480,0.093400374
0.27784204,0.7998047,38.357142857142854,-200.80225823214286,-0.0807715654373169,68,11,166.804,-0.14212842,22528,331.8048701286316,22528,0.10091194
0.28834686,0.79472655,43.022222222222226,-222.53671248888887,-0.07045948505401611,68,12,166.79019,-0.14144018,24576,361.7299041748047,24576,0.09977872
0.29584745,0.8020996,37.78947368421053,-199.79802184210527,-0.051543474197387695,68,13,166.78738,-0.14127138,26624,391.7241656780243,26624,0.109040774
0.30024606,0.80561525,36.517857142857146,-189.0003228214286,-0.04885578155517578,66,14,166.74927,-0.14227374,28672,422.58865332603455,28672,0.110383034
0.32529518,0.8027344,35.8421052631579,-188.3683415614035,-0.010561943054199219,67,15,166.72559,-0.14185956,30720,453.0415279865265,30720,0.11320676
0.3248322,0.8046387,37.10909090909091,-193.68016883636363,-0.04330945014953613,68,16,166.68196,-0.14233199,32768,482.914657831192,32768,0.11480719
0.31883034,0.8015625,32.666666666666664,-172.68570611666664,-0.0514371395111084,68,17,166.69339,-0.14277652,34816,512.9015376567841,34816,0.11444543
0.3371242,0.8064941,32.333333333333336,-169.7914724833333,-0.14852619171142578,68,18,166.7064,-0.1428784,36864,542.7716748714447,36864,0.12024033
0.34392288,0.80854493,35.125,-183.4784146875,0.008652269840240479,68,19,166.71324,-0.14367345,38912,572.7937290668488,38912,0.113767885
0.3460678,0.803418,42.34782608695652,-224.8501872173913,-0.08759486675262451,68,20,166.64241,-0.13943729,40960,602.688807964325,40960,0.118429005
0.35195568,0.8065918,37.98245614035088,-201.1941757719298,-0.04734921455383301,68,21,166.66052,-0.14127174,43008,632.52778840065,43008,0.118825555
0.34384397,0.80429685,35.327586206896555,-185.38740874137932,0.018714487552642822,68,22,166.61661,-0.14146176,45056,662.352564573288,45056,0.11978905
0.35187933,0.8075684,29.104477611940297,-156.67406035820895,-0.06922459602355957,68,23,166.54019,-0.14115599,47104,692.2521405220032,47104,0.12407378
0.35422593,0.7993164,31.87878787878788,-169.0856213939394,-0.05414855480194092,67,24,166.50021,-0.13952026,49152,722.6968266963959,49152,0.12398114
0.36860633,0.8109375,31.50793650793651,-164.95782706349206,-0.10768246650695801,68,25,166.4205,-0.1422052,51200,752.4497947692871,51200,0.12186313
0.38212603,0.8129883,37.625,-200.2022093214286,-0.022431135177612305,68,26,166.37566,-0.14253843,53248,782.4047040939331,53248,0.115815476
0.38369948,0.80874026,33.26984126984127,-177.38472573015872,-0.078116774559021,67,27,166.3057,-0.14202364,55296,812.9711368083954,55296,0.124030486
0.40289822,0.8124512,29.46268656716418,-157.06780865671644,-0.043931007385253906,68,28,166.25372,-0.14218701,57344,842.8019740581512,57344,0.12852442
0.40087524,0.8118652,32.53968253968254,-175.04754688888895,-0.04582774639129639,68,29,166.24863,-0.14270835,59392,872.5280137062073,59392,0.12076739
0.39025125,0.80805665,26.3375,-142.8055718375,-0.06317949295043945,68,30,166.19489,-0.1401314,61440,902.4461433887482,61440,0.1281909
0.40440947,0.81293947,24.759036144578314,-134.0226991686747,-0.09322071075439453,68,31,166.0723,-0.14112654,63488,932.2669250965118,63488,0.11853899
0.3691827,0.8093262,21.364583333333332,-115.34638803125,-0.00564885139465332,68,32,165.97723,-0.14054063,65536,962.0481960773468,65536,0.11401971
0.39095643,0.8070313,21.010416666666668,-114.68460619791666,-0.07271945476531982,69,33,165.86543,-0.1407691,67584,991.666998386383,67584,0.11473137
0.39107996,0.80795896,23.066666666666666,-124.1528250888889,-0.06492269039154053,67,34,165.79378,-0.13824767,69632,1021.8384461402893,69632,0.103595376
0.39934513,0.80844724,18.99074074074074,-102.37338372222221,-0.07599127292633057,68,35,165.69684,-0.13671587,71680,1051.5289595127106,71680,0.09305616
0.41839367,0.8136231,17.46551724137931,-95.33618261206897,-0.07429862022399902,68,36,165.5936,-0.13958208,73728,1081.2430291175842,73728,0.0967799
0.36607516,0.80688477,15.976744186046512,-88.17726252713179,-0.09980154037475586,68,37,165.5109,-0.13387713,75776,1110.9421980381012,75776,0.08321837
0.3911851,0.81240237,15.300751879699249,-84.96592029323308,-0.09314215183258057,68,38,165.42963,-0.13609199,77824,1140.7284083366394,77824,0.076749176
0.38355356,0.8083008,13.10828025477707,-73.75661229936304,-0.03637278079986572,69,39,165.3934,-0.13332082,79872,1170.3660423755646,79872,0.07929554
0.3814008,0.8032715,13.642384105960264,-75.78887527152318,-0.03720426559448242,68,40,165.40857,-0.1340372,81920,1200.0534098148346,81920,0.08158423
0.38499662,0.80966794,13.897260273972602,-77.42090835616439,-0.045195579528808594,68,41,165.3987,-0.13488384,83968,1229.969199180603,83968,0.07676001
0.38998035,0.80444336,11.5,-66.09292927777777,-0.22856652736663818,69,42,165.27495,-0.12751369,86016,1259.648951292038,86016,0.07670852
0.35525757,0.8052246,10.009852216748769,-58.08610402463054,-0.06299841403961182,69,43,165.24557,-0.12682872,88064,1289.1788096427917,88064,0.064551
0.3597672,0.80322266,10.083743842364532,-58.67706251231528,-0.07898855209350586,67,44,165.22897,-0.124473654,90112,1319.3541405200958,90112,0.06706719
0.3508381,0.7963867,9.092511013215859,-53.04090352863437,-0.08091926574707031,69,45,165.12695,-0.12239659,92160,1348.899589061737,92160,0.056241296
0.379135,0.79907227,8.39344262295082,-49.894238618852455,-0.009302735328674316,69,46,164.95381,-0.12091259,94208,1378.5706861019135,94208,0.058521915
0.4013555,0.8005371,9.357798165137615,-54.696853284403666,-0.0901339054107666,68,47,164.77289,-0.12433146,96256,1408.4169340133667,96256,0.059903838
0.35422057,0.7859375,7.6,-46.35723263333333,-0.05865168571472168,68,48,164.60928,-0.11622298,98304,1438.3892993927002,98304,0.04554995
0.37625447,0.7949219,7.2,-43.39316218947368,-0.0822601318359375,67,49,164.51907,-0.11934189,100352,1468.7036199569702,100352,0.047748424
0.36552584,0.7956543,6.902027027027027,-41.71943954729729,-0.03356587886810303,69,50,164.47612,-0.11783075,102400,1497.997757434845,102400,0.043215685
0.37548864,0.79345703,6.843333333333334,-41.69250048333333,-0.057677268981933594,70,51,164.31401,-0.11561109,104448,1526.8587346076965,104448,0.037479647
0.39093733,0.78574216,7.118466898954704,-43.15464867944251,-0.007597446441650391,70,52,164.15599,-0.11907242,106496,1555.815081834793,106496,0.05177038
0.40391865,0.79555666,7.156794425087108,-43.953840933797906,0.048456430435180664,70,53,163.99638,-0.11954739,108544,1584.755274772644,108544,0.04383276
0.35525972,0.78154296,6.437106918238993,-39.543461625786165,0.05990779399871826,68,54,163.9171,-0.10887774,110592,1614.709110736847,110592,0.038226686
0.40029174,0.7811035,6.062130177514793,-38.08177069230769,-0.11488962173461914,68,55,163.85965,-0.111078046,112640,1644.4258570671082,112640,0.032060403
0.38154,0.78569335,5.855491329479769,-36.30042581791908,-0.080666184425354,71,56,163.7993,-0.114580736,114688,1673.2069237232208,114688,0.033504337
0.3666473,0.78085935,5.475675675675675,-34.55310518918919,-0.024504423141479492,71,57,163.78418,-0.10854095,116736,1702.0085306167603,116736,0.029109832
0.38398528,0.7798828,5.431168831168831,-35.16826456363637,-0.11212146282196045,69,58,163.71817,-0.108267546,118784,1731.4344608783722,118784,0.024060953
0.3864694,0.78334963,5.5,-35.25789119354839,-0.08057534694671631,69,59,163.65176,-0.10665461,120832,1760.773922920227,120832,0.027500656
0.4077827,0.7828125,5.425925925925926,-35.095743941798936,-0.15385770797729492,70,60,163.54904,-0.11111603,122880,1789.9049942493439,122880,0.025253776
0.37118852,0.7805664,5.603305785123967,-36.084234765840215,0.00986337661743164,69,61,163.46182,-0.109168135,124928,1819.529233455658,124928,0.028527085
0.3951078,0.7822754,5.1141439205955335,-33.281265454094296,-0.10161244869232178,68,62,163.34985,-0.108476326,126976,1849.3620116710663,126976,0.020242872
0.38830554,0.7796875,5.557065217391305,-35.827877369565215,0.06334877014160156,70,63,163.26865,-0.108663,129024,1878.2527577877045,129024,0.028984949
0.43066984,0.779834,5.214285714285714,-34.00841119387755,-0.0025757551193237305,69,64,163.17183,-0.106855795,131072,1907.5415823459625,131072,0.020292232
0.40814137,0.7907715,5.871428571428571,-37.33972429999999,-0.05074739456176758,69,65,163.07138,-0.11140393,133120,1936.8876202106476,133120,0.025098851
0.39750305,0.78754884,5.153652392947103,-33.50965225692695,-0.21598553657531738,70,66,162.91214,-0.108100414,135168,1966.110280752182,135168,0.017870296
0.4140728,0.7861816,5.246153846153846,-34.227680761538466,-0.060515403747558594,71,67,162.7787,-0.108357176,137216,1994.8500516414642,137216,0.018276546
0.37679285,0.7818848,4.846335697399527,-31.4188301678487,-0.13800418376922607,71,68,162.59035,-0.10474457,139264,2023.55384683609,139264,0.01588231
0.39744514,0.7817383,4.8530805687203795,-31.842440803317533,-0.009383678436279297,70,69,162.39803,-0.1021034,141312,2052.4632613658905,141312,0.01471659
0.3953009,0.78408206,4.918465227817745,-31.938486685851316,-0.08794784545898438,70,70,162.27415,-0.107176684,143360,2081.3205785751343,143360,0.016159594
0.3804696,0.77495116,4.791569086651054,-31.19557956908665,-0.05636262893676758,71,71,162.13005,-0.10313392,145408,2109.9604983329773,145408,0.014338831
