approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.011081011,0.17539063,20.17,-84.86911569,-0.7860106229782104,667,1,14.14119,-0.044184253,2048,3.0867462158203125,2048,0.6612977
0.0127700865,0.20375976,25.195121951219512,-98.49996809756098,-0.4232633113861084,688,2,14.069545,-0.053344734,4096,6.070764780044556,4096,0.40362564
0.0130047845,0.20771484,19.186915887850468,-77.93655003738316,-0.2013152837753296,673,3,13.957133,-0.053824443,6144,9.111632347106934,6144,0.24784772
0.014978886,0.23603515,20.277227722772277,-80.54523798019802,0.047912001609802246,604,4,13.84582,-0.059099473,8192,12.50010085105896,8192,0.23826583
0.01523975,0.23623046,19.438095238095237,-76.36622203809524,0.2479461431503296,681,5,13.7265835,-0.057899427,10240,15.507059097290039,10240,0.16383255
0.015355477,0.23725586,19.367924528301888,-71.14615263207548,0.3699583411216736,685,6,13.60345,-0.0591668,12288,18.495068311691284,12288,0.12352668
0.014534916,0.23232421,18.232142857142858,-65.94368197321428,0.42693907022476196,684,7,13.483404,-0.058573894,14336,21.487067699432373,14336,0.09931074
0.01532841,0.24750976,17.99122807017544,-64.25947871052632,0.4402084946632385,567,8,13.355695,-0.061482012,16384,25.094419479370117,16384,0.118945956
0.017062198,0.26303712,17.43220338983051,-59.009765406779664,0.5069071650505066,650,9,13.227199,-0.06367422,18432,28.24235701560974,18432,0.104822494
0.016913483,0.27504882,15.23134328358209,-51.57863778358209,0.5075415372848511,646,10,13.087286,-0.06388178,20480,31.412878274917603,20480,0.09717592
0.017796425,0.28569335,14.49645390070922,-48.01776090780142,0.5036488771438599,654,11,12.950357,-0.06441226,22528,34.54649782180786,22528,0.09442193
0.019103128,0.28769532,15.298507462686567,-48.303623268656715,0.5485953390598297,634,12,12.808996,-0.064524755,24576,37.77486443519592,24576,0.10004772
0.02003182,0.28955078,11.80813953488372,-36.9565980872093,0.5159686505794525,486,13,12.647516,-0.06332184,26624,41.98460674285889,26624,0.07264145
0.01738115,0.27158204,12.211764705882352,-36.308698729411766,0.5366123914718628,562,14,12.478026,-0.061921585,28672,45.628859758377075,28672,0.058230214
0.018326389,0.28022462,11.225274725274724,-33.165262016483524,0.5203320980072021,559,15,12.298508,-0.06399344,30720,49.29106640815735,30720,0.0665739
0.019426093,0.2722656,10.536082474226804,-29.90173292268041,0.47567158937454224,515,16,12.075527,-0.061692633,32768,53.265437602996826,32768,0.043439057
0.021032598,0.30375975,10.406091370558375,-27.554942989847717,0.5137087106704712,532,17,11.82179,-0.06912045,34816,57.112149477005005,34816,0.039289042
0.020053105,0.29418945,9.785714285714286,-25.20380023333333,0.49841082096099854,548,18,11.57258,-0.06395694,36864,60.84616422653198,36864,0.034630544
0.020609625,0.30336913,9.903381642512077,-22.842881565217386,0.5195056200027466,523,19,11.337282,-0.06525433,38912,64.75770330429077,38912,0.024675472
0.020798976,0.30297852,8.818965517241379,-20.153910495689654,0.5249151587486267,543,20,11.083548,-0.065502815,40960,68.5306134223938,40960,0.017869644
0.021621712,0.31396484,8.46058091286307,-18.891395526970957,0.5424562394618988,536,21,10.799422,-0.0688632,43008,72.36008024215698,43008,0.015625035
0.021543797,0.3100586,8.290322580645162,-17.056761733870967,0.498868465423584,547,22,10.51138,-0.06586935,45056,76.10606217384338,45056,0.013297741
0.020817298,0.3088379,8.299595141700404,-15.383056364372466,0.5427857041358948,534,23,10.240202,-0.067961,47104,79.93897461891174,47104,0.008974053
0.022176009,0.32075197,8.287449392712551,-13.737676534412955,0.4607654809951782,494,24,9.957017,-0.069057055,49152,84.08189463615417,49152,0.010390001
0.024125634,0.33066407,7.884615384615385,-12.46504728846154,0.45642632246017456,473,25,9.656519,-0.0715166,51200,88.41331124305725,51200,0.007218831
0.022463249,0.3244629,8.423868312757202,-11.597335427983541,0.4106830954551697,383,26,9.36953,-0.06677891,53248,93.76154088973999,53248,0.009168447
0.02228291,0.30927736,8.224899598393574,-10.343212072289155,0.5584441423416138,380,27,9.097328,-0.06637895,55296,99.14234137535095,55296,0.0061906315
