approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.03047668,0.4765625,58.42857142857143,-285.16452497142853,-1.1883573532104492,293,1,56.693573,-0.107543014,2048,7.001274108886719,2048,0.53005964
0.03236924,0.4916504,40.9,-198.19646904,-1.5472180843353271,267,2,56.631275,-0.11634146,4096,14.66210150718689,4096,0.21038088
0.035614807,0.51835936,40.05882352941177,-196.4021114705882,-0.6891170740127563,313,3,56.575825,-0.11844423,6144,21.196858167648315,6144,0.14347455
0.03768315,0.5410156,52.23076923076923,-253.55925615384615,-0.24663889408111572,313,4,56.493614,-0.12118133,8192,27.735370874404907,8192,0.11926963
0.042103134,0.5733398,40.549019607843135,-197.67010101960787,-0.048232316970825195,321,5,56.437572,-0.12869887,10240,34.10633134841919,10240,0.098963276
0.04382873,0.57421875,48.714285714285715,-237.47242235714285,-0.0422743558883667,313,6,56.385468,-0.12684704,12288,40.64683818817139,12288,0.10245583
0.04385998,0.5732422,36.464285714285715,-176.96081830357141,0.05306088924407959,320,7,56.31194,-0.1262164,14336,47.03173851966858,14336,0.09812473
0.04303194,0.5721191,38.320754716981135,-187.79442713207544,-0.04899430274963379,318,8,56.2581,-0.12480354,16384,53.4605450630188,16384,0.114636615
0.0457552,0.57651365,35.70175438596491,-172.59501401754386,0.04396557807922363,291,9,56.194073,-0.12629947,18432,60.49437189102173,18432,0.096882276
0.047142856,0.5888184,50.926829268292686,-244.0215482682927,0.022249877452850342,296,10,56.163025,-0.12711698,20480,67.41386580467224,20480,0.115646385
0.04796725,0.5883789,42.48936170212766,-203.64091540425528,0.052393436431884766,263,11,56.108345,-0.1277224,22528,75.17610597610474,22528,0.11295154
0.049843676,0.6056641,34.672413793103445,-168.79912548275863,0.07580238580703735,278,12,56.07177,-0.13031188,24576,82.5274429321289,24576,0.11334436
0.049853317,0.6064941,36.53448275862069,-175.8860544827586,0.09616422653198242,285,13,55.994667,-0.1275825,26624,89.6942765712738,26624,0.112292126
0.052696586,0.60913086,30.893939393939394,-149.479977469697,0.14323031902313232,283,14,55.91566,-0.12847233,28672,96.91197061538696,28672,0.109029934
0.052367967,0.60981447,29.492753623188406,-141.35934849275364,0.09956568479537964,242,15,55.842876,-0.1280545,30720,105.36436343193054,30720,0.10580158
0.053233363,0.6091797,26.189873417721518,-129.5724467594937,0.22338086366653442,223,16,55.788563,-0.12831804,32768,114.53483724594116,32768,0.104616284
0.051572185,0.59169924,24.50602409638554,-118.40051157831326,0.12108051776885986,274,17,55.679768,-0.12499501,34816,121.9918920993805,34816,0.09132602
0.054965835,0.60185546,25.304878048780488,-122.90502706097563,0.14632606506347656,289,18,55.5738,-0.1246132,36864,129.07594537734985,36864,0.09089045
0.054593485,0.6058105,22.25,-107.02267722826086,0.06899333000183105,277,19,55.45539,-0.12540458,38912,136.44853138923645,38912,0.092640914
0.05794435,0.62285155,22.52747252747253,-107.427636978022,0.14286214113235474,262,20,55.34762,-0.12736551,40960,144.25073552131653,40960,0.08313356
0.054161657,0.61157227,23.204545454545453,-110.94499672727271,0.1219978928565979,264,21,55.240826,-0.12569343,43008,151.99402570724487,43008,0.08287876
0.057893444,0.61015624,19.447619047619046,-93.59751760952382,0.06672000885009766,277,22,55.14715,-0.12346488,45056,159.38027048110962,45056,0.08141652
0.05978321,0.6268066,16.464,-80.26076004000002,0.11722111701965332,279,23,55.029858,-0.12448541,47104,166.69769930839539,47104,0.06906082
0.062441938,0.62783206,16.557377049180328,-80.4001819262295,0.21696484088897705,284,24,54.93389,-0.1247133,49152,173.90442490577698,49152,0.058196865
0.05839132,0.6236328,15.392592592592592,-74.86999732592592,0.08894878625869751,284,25,54.85725,-0.122266814,51200,181.10616374015808,51200,0.059677385
0.062037103,0.6291504,14.52482269503546,-71.5651799858156,0.10392099618911743,269,26,54.80183,-0.12261945,53248,188.69885563850403,53248,0.061079957
0.05937597,0.6106445,12.874213836477987,-63.5458636981132,0.14506834745407104,237,27,54.65169,-0.11923899,55296,197.3068335056305,55296,0.05265407
0.06092295,0.61503905,11.32596685082873,-56.712676795580116,0.20096230506896973,230,28,54.488117,-0.11684497,57344,206.20403695106506,57344,0.03990721
0.061260056,0.61069334,9.841346153846153,-49.699900028846145,0.1592763066291809,221,29,54.334328,-0.11461977,59392,215.4393367767334,59392,0.03430054
0.060163163,0.6087402,8.978070175438596,-45.81492831140351,0.09321606159210205,233,30,54.188465,-0.111479,61440,224.19691395759583,61440,0.033530593
0.06071471,0.60844725,8.991189427312776,-45.01784288105727,0.21366846561431885,217,31,54.03849,-0.108856454,63488,233.60475206375122,63488,0.03377054
0.061050434,0.5908691,8.473029045643154,-43.1138832033195,0.17988497018814087,214,32,53.88932,-0.109930955,65536,243.13725638389587,65536,0.031776354
0.06407918,0.61191404,8.182539682539682,-41.36806409920635,0.16978687047958374,220,33,53.744804,-0.11024288,67584,252.42441725730896,67584,0.025597164
0.06513754,0.60791016,6.925675675675675,-35.90575301351351,0.18881094455718994,229,34,53.561016,-0.10681323,69632,261.3485493659973,69632,0.014900553
0.06789019,0.6169922,6.466876971608833,-33.54923653943218,0.16316545009613037,256,35,53.2843,-0.10667938,71680,269.3282063007355,71680,0.012660345
0.0693102,0.6142578,6.203030303030303,-32.533240387878784,0.24301129579544067,241,36,52.98551,-0.10491961,73728,277.8025414943695,73728,0.010382248
0.062167335,0.5919434,5.904899135446686,-30.888941440922192,0.1560109257698059,242,37,52.741035,-0.100955464,75776,286.2529408931732,75776,0.009908371
0.065899916,0.5770019,5.787535410764873,-30.558734441926347,0.15980243682861328,243,38,52.483665,-0.10081017,77824,294.66843247413635,77824,0.008124044
0.06311687,0.5746094,5.574931880108992,-29.435657871934605,0.22314101457595825,235,39,52.157906,-0.10060674,79872,303.3731505870819,79872,0.005819365
0.06533832,0.58154297,5.6219178082191785,-29.119570986301373,0.24297475814819336,213,40,51.833027,-0.09304546,81920,312.96649289131165,81920,0.0082637
0.06435699,0.57802737,5.598360655737705,-28.44324563661202,0.23125576972961426,230,41,51.504944,-0.09571229,83968,321.83577156066895,83968,0.0067961076
0.06628044,0.5746582,5.482573726541555,-27.39011474798928,0.32578593492507935,223,42,51.176296,-0.09824153,86016,331.00026059150696,86016,0.0048821145
0.06645277,0.5806152,5.645429362880886,-28.15730407756233,0.32962870597839355,230,43,50.841385,-0.092118904,88064,339.8755226135254,88064,0.0076625147
0.06511901,0.5698242,5.582655826558265,-27.247633260162605,0.2930212616920471,209,44,50.49625,-0.096121036,90112,349.63892221450806,90112,0.005958279
0.07349567,0.60063475,5.487935656836461,-26.846437697050934,0.365415096282959,196,45,50.128212,-0.100584984,92160,360.03910636901855,92160,0.0040905452
0.07213849,0.5871094,5.3023255813953485,-25.434152607235145,0.34192317724227905,189,46,49.74509,-0.09262247,94208,370.8481969833374,94208,0.004581012
0.07078695,0.5691894,5.444148936170213,-25.517412125,0.3421989679336548,181,47,49.39808,-0.08938727,96256,382.110098361969,96256,0.005013091
0.0751167,0.61381835,5.2378516624040925,-24.436969475703325,0.36118268966674805,204,48,49.0972,-0.10419159,98304,392.1283040046692,98304,0.0029343169
0.07246937,0.6083496,5.2979274611398965,-24.2845772253886,0.5066873729228973,203,49,48.801666,-0.10077675,100352,402.19637656211853,100352,0.0024936358
0.074095935,0.586084,5.394736842105263,-24.485159071052635,0.35387349128723145,201,50,48.498672,-0.08729561,102400,412.3861229419708,102400,0.004634411
0.07566759,0.6045898,5.14070351758794,-23.14791849246231,0.4465283155441284,186,51,48.1599,-0.098277174,104448,423.3587944507599,104448,0.002660787
0.08345263,0.596875,5.316062176165803,-23.256766663212435,0.4399757385253906,191,52,47.785107,-0.09122541,106496,434.05219435691833,106496,0.0038397494
0.07931392,0.6039551,5.322916666666667,-22.615107796874998,0.4318273067474365,183,53,47.42605,-0.09642705,108544,445.24027037620544,108544,0.0030358667
0.08024235,0.60424805,5.324675324675325,-22.12875451948052,0.4114362597465515,190,54,47.08793,-0.094825596,110592,456.0304117202759,110592,0.0033697926
0.078275435,0.59350586,5.158690176322418,-21.27160113602015,0.4190242886543274,194,55,46.770264,-0.09214733,112640,466.55127239227295,112640,0.0027817257
0.07777195,0.5942871,5.208651399491094,-21.236541427480912,0.41824841499328613,183,56,46.454494,-0.09351996,114688,477.68948316574097,114688,0.0022305665
0.08494894,0.6100586,5.163727959697733,-20.752117319899245,0.5237502753734589,193,57,46.137577,-0.10029598,116736,488.26818895339966,116736,0.0018032836
0.08077992,0.6010742,5.061881188118812,-20.123736044554455,0.5093122720718384,195,58,45.78643,-0.09354567,118784,498.76411747932434,118784,0.0019498235
0.084658176,0.6069336,5.1767676767676765,-20.129756315656568,0.4819888472557068,193,59,45.477047,-0.09527619,120832,509.3308560848236,120832,0.0020070244
0.08461904,0.6106445,5.064356435643564,-19.61032107920792,0.4873271584510803,194,60,45.122066,-0.09892947,122880,519.8517165184021,122880,0.0016708231
0.08752386,0.60908204,5.180203045685279,-19.40755672081218,0.4497605562210083,194,61,44.739082,-0.091299824,124928,530.4144656658173,124928,0.0021092095
0.08185932,0.6152832,5.068965517241379,-18.833018440886697,0.5906217992305756,190,62,44.373047,-0.09940427,126976,541.1886510848999,126976,0.0013282413
0.0889178,0.61811525,5.024570024570025,-18.140630515970514,0.573932409286499,187,63,43.988396,-0.09667912,129024,552.1064488887787,129024,0.0013063152
0.083137736,0.59990233,5.089330024813896,-18.0159554764268,0.5694814026355743,199,64,43.57218,-0.092544794,131072,562.3660089969635,131072,0.0014047113
0.09034555,0.6175293,5.12781954887218,-17.65495398746867,0.5418423116207123,241,65,43.163715,-0.09532111,133120,570.8602910041809,133120,0.0015276318
0.082817286,0.6183106,5.2030456852791875,-17.343386652284263,0.5254928469657898,238,66,42.794415,-0.09442983,135168,579.4343585968018,135168,0.0015342246
0.09671335,0.62763673,5.064356435643564,-16.587227705445546,0.5457484722137451,245,67,42.39436,-0.096801385,137216,587.7760484218597,137216,0.0012712476
0.09185395,0.6291016,5.224489795918367,-16.759375719387755,0.5651072561740875,250,68,42.055096,-0.09585566,139264,595.960159778595,139264,0.0012226503
0.0922233,0.6311035,5.187341772151899,-16.43311278734177,0.5823860764503479,248,69,41.696835,-0.09700377,141312,604.2071018218994,141312,0.0011783981
0.089041665,0.62719727,5.158690176322418,-15.86861729974811,0.6084037125110626,224,70,41.25503,-0.09756653,143360,613.3426692485809,143360,0.0009475602
0.09419794,0.630957,5.08955223880597,-15.688750606965172,0.6380528211593628,235,71,40.807735,-0.09993296,145408,622.03342461586,145408,0.00086269
0.08908211,0.6203613,4.980582524271845,-14.717945621359222,0.6623350381851196,235,72,40.392414,-0.10070358,147456,630.7281696796417,147456,0.0006873072
0.10048602,0.6448242,5.097256857855362,-14.976205523690773,0.6572100222110748,245,73,39.992386,-0.09890728,149504,639.0818266868591,149504,0.00082542765
0.09973034,0.62583005,5.03931203931204,-14.538772434889436,0.6137894690036774,239,74,39.60718,-0.09401339,151552,647.6399371623993,151552,0.0008830436
0.09394857,0.62353516,4.966019417475728,-13.869262783980583,0.6927615702152252,254,75,39.188545,-0.100231566,153600,655.6804330348969,153600,0.0005757316
