approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.045100648,0.57246095,64.96774193548387,-316.95729819354835,-1.3589482307434082,223,1,82.29243,-0.11595669,2048,9.169471979141235,2048,0.5264411
0.050589375,0.5990723,75.1923076923077,-379.37733876923073,-3.7805256843566895,220,2,82.26732,-0.1244061,4096,18.44817066192627,4096,0.19333582
0.056783397,0.6165527,76.5,-376.81952596428573,-1.218841791152954,219,3,82.242775,-0.12714782,6144,27.77425217628479,6144,0.101473734
0.062214244,0.63432616,72.14285714285714,-357.4658437142857,-0.5002648830413818,209,4,82.218704,-0.1289333,8192,37.533178091049194,8192,0.088614635
0.065525755,0.64589846,60.57575757575758,-301.35027545454545,-0.18960833549499512,195,5,82.12578,-0.12984276,10240,48.0242440700531,10240,0.08107477
0.07235626,0.65825194,79.44,-385.85807855999997,-0.21792268753051758,192,6,82.02022,-0.12927762,12288,58.646055936813354,12288,0.08006502
0.0762815,0.6684082,63.25714285714286,-314.022627,-0.14791548252105713,150,7,81.940926,-0.13195053,14336,72.3005428314209,14336,0.08496152
0.077259935,0.6690918,56.55555555555556,-281.5292322222223,-0.05391049385070801,137,8,81.90305,-0.13220249,16384,87.2435851097107,16384,0.08199848
0.07826375,0.6696289,71.74074074074075,-355.0961874814814,-0.1256636381149292,133,9,81.85779,-0.12929516,18432,102.5825686454773,18432,0.08716512
0.08284314,0.6859375,56.36842105263158,-281.00830560526316,-0.09753847122192383,166,10,81.79097,-0.13558754,20480,114.90561723709106,20480,0.107305095
0.086388886,0.68583983,53.78947368421053,-267.47075521052625,-0.08645987510681152,165,11,81.75163,-0.13603534,22528,127.30246782302856,22528,0.10778327
0.085555874,0.6880859,48.25581395348837,-240.97297106976745,0.01426321268081665,145,12,81.758224,-0.13649084,24576,141.4277160167694,24576,0.10816942
0.08720816,0.6925293,57.74285714285714,-286.2105782285714,-0.05278360843658447,138,13,81.741196,-0.13555735,26624,156.2321286201477,26624,0.1101864
0.092033766,0.69135743,42.520833333333336,-212.13938925000002,0.004036605358123779,137,14,81.69809,-0.13627525,28672,171.0784306526184,28672,0.120333716
0.09801238,0.70234376,52.25,-259.55189615,-0.03898811340332031,147,15,81.602554,-0.1364263,30720,184.98624086380005,30720,0.10991877
