approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.027107686,0.43549806,36.19642857142857,-159.2548245357143,-0.8754314184188843,337,1,51.02985,-0.10040698,2048,6.096697568893433,2048,0.6020315
0.031117093,0.48417968,48.0,-210.2399297674419,-1.1013526916503906,336,2,50.956543,-0.11412505,4096,12.186413049697876,4096,0.3266635
0.033109438,0.50039065,37.77358490566038,-163.68450709433964,-0.3805084228515625,347,3,50.86142,-0.11540302,6144,18.07267451286316,6144,0.17142543
0.03487927,0.51533204,35.57627118644068,-153.75453540677967,0.11030811071395874,331,4,50.79055,-0.11899944,8192,24.248160123825073,8192,0.12104164
0.037267283,0.52749026,37.55555555555556,-163.3813390370371,0.1457396149635315,334,5,50.695396,-0.11957736,10240,30.36480450630188,10240,0.132844
0.03777586,0.53510743,39.61538461538461,-169.1467205576923,0.3611191511154175,344,6,50.59132,-0.121009305,12288,36.303924798965454,12288,0.10301088
0.038067978,0.5404297,31.630769230769232,-135.95445613846158,0.27730125188827515,319,7,50.48954,-0.120329715,14336,42.70680236816406,14336,0.10818265
0.04135325,0.5557129,35.05172413793103,-150.08415460344827,0.3612246513366699,313,8,50.41207,-0.122712076,16384,49.24332332611084,16384,0.09282662
0.04052278,0.5472168,31.671875,-135.024036984375,0.36777645349502563,313,9,50.373646,-0.12051024,18432,55.781840085983276,18432,0.10141462
0.043744974,0.5590332,30.791044776119403,-132.40118528358207,0.3252333402633667,286,10,50.297478,-0.12022004,20480,62.93371629714966,20480,0.10456201
0.04471424,0.56459963,25.382716049382715,-110.49480925925927,0.42449361085891724,301,11,50.211296,-0.120281056,22528,69.72655200958252,22528,0.08714564
0.046582796,0.57416993,26.894736842105264,-115.36322342105264,0.40638071298599243,272,12,50.132698,-0.12240912,24576,77.23148393630981,24576,0.097829275
0.045413356,0.56572264,24.452380952380953,-104.37110046428572,0.40451544523239136,281,13,50.038628,-0.11925934,26624,84.51203346252441,26624,0.07993791
0.048907276,0.5773926,25.525,-110.5858338,0.3649854063987732,270,14,49.93371,-0.12165526,28672,92.08777666091919,28672,0.08852963
0.049361896,0.59277344,29.028169014084508,-123.1826427746479,0.3808130621910095,293,15,49.841957,-0.12227021,30720,99.06013250350952,30720,0.09003668
0.052944552,0.60195315,23.86046511627907,-103.21552089534882,0.3640313744544983,295,16,49.77621,-0.12466429,32768,105.99558711051941,32768,0.0872363
0.053033732,0.60234374,24.25,-105.40675877380954,0.4078700542449951,280,17,49.70515,-0.12358252,34816,113.30105257034302,34816,0.082769975
0.050523024,0.5812012,22.910112359550563,-97.00249382022471,0.4568185806274414,290,18,49.602642,-0.11983987,36864,120.3581817150116,36864,0.07242642
0.052683108,0.585791,21.4375,-91.56993909375,0.3970140814781189,291,19,49.48713,-0.11998309,38912,127.39336895942688,38912,0.07349095
